+----------+------------+
| count(*) | sponcer_id |
+----------+------------+
|        1 |  11907442  |
|        1 | 11600910   |
|        3 | 11603424   |
|        1 | 11604441   |
|        1 | 11605020   |
|        3 | 11605895   |
|        2 | 11610214   |
|        5 | 11610650   |
|        1 | 11612732   |
|        6 | 11615519   |
|        1 | 11711388   |
|        5 | 11712730   |
|        1 | 11900067   |
|        2 | 11900074   |
|        1 | 11900075   |
|        1 | 11900077   |
|        2 | 11900094   |
|        1 | 11900790   |
|        2 | 11906564   |
|        2 | 11906594   |
|        2 | 11906603   |
|        1 | 11906629   |
|        5 | 11906774   |
|        4 | 11906791   |
|        7 | 11906810   |
|        4 | 11906871   |
|       24 | 11907031   |
|        1 | 11907206   |
|        1 | 11907337   |
|       25 | 11907424   |
|        5 | 11907430   |
|        1 | 11907431   |
|       51 | 11907442   |
|       16 | 11907450   |
|        3 | 11907492   |
|       13 | 11908250   |
|       13 | 11908309   |
|        2 | 11908475   |
|        1 | 11908513   |
|        1 | 11908884   |
|        3 | 11909061   |
|        3 | 11909379   |
|       11 | 11910982   |
|        1 | 11912825   |
|        1 | 11915835   |
|        1 | 11917777   |
|        1 | 11918788   |
+----------+------------+
+----------+------------+
| count(*) | sponcer_id |
+----------+------------+
|       13 | al91kqgb   |
|        5 | ch91gyhd   |
|       17 | co91ufwo   |
|       52 | dz91xlpw   |
|       31 | ev91ntfb   |
|        5 | ew91ibty   |
|        3 | fg91akpu   |
|        6 | fl91bnwx   |
|       21 | fz91jlkr   |
|        7 | hl91kqpa   |
|       21 | ho91ordb   |
|        1 | hp91idwu   |
|        1 | im91vuln   |
|       40 | lf91zsnh   |
|        2 | lz91kweu   |
|        1 | lz91pnrm   |
|        1 | mb91kusj   |
|       10 | mo91sxct   |
|        8 | nb91ejgk   |
|        2 | nb91pone   |
|        2 | nl91dkvj   |
|        7 | su91bqmx   |
|        7 | sx91dfxn   |
|        6 | twehns     |
|        3 | ue91sqmo   |
|        3 | uw91cszq   |
|        6 | wp91fqil   |
|        8 | wp91wjpx   |
|       12 | xt91hwdo   |
|        1 | zj91dzgw   |
|        2 | zj91hjub   |
+----------+------------+
31 rows in set (0.00 sec)
